	item	desc	domain	meaning	example_1	example_2	example_3	example_4
735	HAMMA	adj	Quantity and Numbers	all	Hamma ishchilar fabrikalarda ishlaydilar.	All the workers are working in the factories.		
736	HAMMA	NX+ning ~+si	Quantity and Numbers	the totality of X, whole X				
737	BARCHA	adj	Quantity and Numbers	all	Barcha xodimlarni yig'ilishga chaqirish kerak.	All official must be called to the meeting.		
739	BA'ZI	adj	Quantity and Numbers	some, certain	Ba'zi kunlarda oftob chiqadi.	Some days the sun shines.		
743	HECH	adj	Quantity and Numbers	no				
745	FAQAT	adv | ~ NX+gina	Quantity and Numbers	only X	Faqat xonimlargina bilaguzuk taqadilar.	Only women wear bracelets.		
746	FAQAT	adv | ~ numX NY	Quantity and Numbers	only X Y	Majlisga faqat o'n kishi keldi.	Only ten people came to the meeting.		
748	XOLOS	adv	Quantity and Numbers	only, that's it				
749	JUDA	adv | ~ AX	Quantity and Numbers	very; too	Bu yerda juda ko'p odam keldi.	Very many people came here.	Maktabda o'quvchilar juda oz.	There are very few pupils at the school.
750	JUDA	juda ham AX	Quantity and Numbers	very much; too much	U juda ham xursand.	He is very pleased indeed.		
751	G'OYAT	adv | ~ AX	Quantity and Numbers	extremely, to a high degree	Bu daraxt g'oyat kattadir.	This tree is extremely large.	G'oyat boy tajribaga ega bo'ldik.	We have had very great experience.
755	ENG	adv	Quantity and Numbers	most (superlative)	Bu kitob eng yaxshi kitoblardan birisi.	This is one of the best books.		
758	QADAR	bir qadar	Quantity and Numbers	to a certain degree, relatively	Paxta hosili bir qadar ko'paydi.	The cotton harvest has increased a small amount.		
760	XIYLA/ XILA	adv	Quantity and Numbers	relatively | greatly, much	Havo xila yaxshilandi.	The weather has greatly improved.		
762	DARAJA	n	Quantity and Numbers	degree | level	Ish sifatini yuqori darajaga ko'tarish kerak.	The quality of work must be greatly improved.		
764	SAL	adv | ~ AX(+roq)	Quantity and Numbers	a little, somewhat, slightly X	Sal nariroq turing!	Stand a little further off.		
765	SAL	adv | ~ VX	Quantity and Numbers	a little, somewhat, slightly X	Bu yerga sal kechikib keldim.	I came here a little late.		
772	DEYARLI/ DEYARLIK	ad	Quantity and Numbers	almost, nearly	Paxtalarni deyarlik ravishda terib oldik.	We have collected nearly all the cotton.	U deyarlik tuzalib qoldi.	He has nearly recovered.
773	TENG	adj | NX+ga ~	Quantity and Numbers	equal to X				
774	TENG	adv	Quantity and Numbers	equally				
779	BARAVAR	adj	Quantity and Numbers	equal, same	Ularning bo'yi baravar.	They are of the same height.		
782	ATROF	n | NX+ning ~+ida/dan/ga	Quantity and Numbers	around X | around X, about X	Besh kilogramm atrofida.	About five kilometers.		
785	YAQIN	adj | numX+ga ~	Quantity and Numbers	close to X, about X, approximately X	Bu mamlakatning 50 millionga yaqin fuqarosi bor.	There are about 50 million people in this country.	Bu yil bir million dollarga yaqin daromad oldik.	This year we got a profit close on a million dollars.
787	taxminan	adv | ~ numX	Quantity and Numbers	about X, roughly X, approximately X				
789	QATTIQ	adj	Quantity and Numbers	strong, intense	Unga qarshi qattiq harakat qilish kerak.	Firm action must be taken against him.	Uning bilan qattiq aloqasi bor.	He is in close contact with him.
792	shiddatli	adj	Quantity and Numbers	intense, fierce				
793	BALAND	ad	Quantity and Numbers	high	Bemorning issig'i baland.	The patient's temperature is high.	Bu devorlar baland.	These walls are high.
794	PAST	adj	Quantity and Numbers	low	Bu past uy.	This is low house.	Turkistonda bir qancha past tekisliklar bor.	There are many low-lying plains in Turkestan.
795	o'rtacha	ad	Quantity and Numbers	(in) average, medium				
797	SON	n	Quantity and Numbers	number, numeral	Qo'ylarning soni sal kam uch marta oshdi.	The number of sheep increased nearly threefolds.		
799	SANA-	v.t	Quantity and Numbers	count	Bu yerga kelgan odamlarni sanash kerak.	The people who came here must be counted.		
806	NOMER	n	Quantity and Numbers	number				
810	NOL	num	Quantity and Numbers	zero				
811	BIR	num	Quantity and Numbers	one	Menga bitta kitob kerak.	I need one book.		
812	IKKI	num	Quantity and Numbers	two				
813	UCH	num	Quantity and Numbers	three				
814	TO'RT	num	Quantity and Numbers	four				
815	BESH	num	Quantity and Numbers	five				
816	OLTI	num	Quantity and Numbers	six				
817	YETTI	num	Quantity and Numbers	seven				
818	SAKKIZ	num	Quantity and Numbers	eight				
819	TO'QQIZ	num	Quantity and Numbers	nine				
820	O'N	num	Quantity and Numbers	ten				
822	YIGIRMA	num	Quantity and Numbers	twenty				
823	O'TTIZ	num	Quantity and Numbers	thirty				
824	QIRQ	num	Quantity and Numbers	fourty				
825	ELLIK	num	Quantity and Numbers	fifty				
826	OLTMISH	num	Quantity and Numbers	sixty				
827	YETMISH	num	Quantity and Numbers	seventy				
828	SAKSON	num	Quantity and Numbers	eighty				
829	TO'QSON	num	Quantity and Numbers	ninety				
830	YUZ	num	Quantity and Numbers	hundred				
831	MING	num	Quantity and Numbers	thousand				
832	MILLION	num	Quantity and Numbers	million				
833	MILLIARD	num	Quantity and Numbers	milliard, billion				
834	JUFT	n, meas	Quantity and Numbers	pair, couple	Bizning bir juft otimiz bor.	We have a pair of horses.	Uch juft paypok.	Three pairs of stockings.
841	YARIM (yarm+i)	num	Quantity and Numbers	half	Men yarim soatdan keyin kelaman.	I will come in half an hour.		
842	YARIM (yarm+i)	n | NX yarmi	Quantity and Numbers	half X				
843	YARIM (yarm+i)	numX ~	Quantity and Numbers	X and a half	Bir yarim soat ishladik.	We worked for an hour and a half.		
848	CHORAK	n	Quantity and Numbers	quarter				
850	FOIZ	n	Quantity and Numbers	per cent				
851	FOIZ	n | NX+ning numY ~+i	Quantity and Numbers	Y per cent of X	Ishning to'qsan foizini bajardik.	We have completed ninety per cent of the work.		
855	HISOB	n	Quantity and Numbers	arithmetic, calculation, computation | account, count, score	Hisob necha bo'ldi?	What is the score?	U kitoblarni hisobga olyapti.	He is counting the books.
859	hisobla-	v.t	Quantity and Numbers	calculate				
867	YET-	v.int | NX+ga ~	Quantity and Numbers	reach X(=quantity)	Qizimning yoshi o'nga yetdi.	My daughter is now ten.		
868	CHEK	n	Quantity and Numbers	limit, boundary, limitation	U chekdan tashqarida.	He is outside the limits.	U o'zining chek yerida ishlayapti.	He is working his own plot.
871	chekla-	v.t	Quantity and Numbers	restrict, limit, confine				
885	o'rtacha	ad	Quantity and Numbers	(in) average, medium				
887	O'LCHA-	v.t	Quantity and Numbers	measure	Hamshira bemorning haroratini o'lchamoqda.	The nurse is taking the temperature of the sick man.		
893	TORT-	v.t | NX+ni (tarozida) ~	Quantity and Numbers	weigh X	Bu unni tarozida tortish kerak.	This flour must be weighed on the scales.		
894	TAROZI	n	Quantity and Numbers	scales				
895	TERMOMETR	n	Quantity and Numbers	thermometer				
898	MATEMATIKA	n	Quantity and Numbers	mathematics				
900	KATTA	adj	Size	big, large | grand; eldest, elder | grown up	Bu etik menga katta.	These boots are too big for me.		
903	kattalashtir-	v.t	Size	make bigger, enlarge	Yigitcha otasining suratini kattalashtirdi.	The youth has enlarged the photography of his father.		
906	YIRIK	adj	Size	large, big, bulky | prominent	Olmalardan yiriklarini terib oling!	Help yourself to the biggest apples!		
908	KICHIK	adj	Size	small, little | younger	Bu uy juda ham kichik.	This house is very small.		
912	KICHKINA	adj	Size	very small, little, tiny	Menga kichkina bir uy kerak.	I need a tiny little house.		
914	BO'Y	n	Size	size, length, height	Uyning bo'yi besh metr.	The room is five metres in length.		
915	BO'Y	NX+ning ~+i uzun	Size	tall	Uning bo'yi uzun.	He is tall.		
918	UZUN	adj	Size	long	Bu arg'amchi uzun.	This rope is long.	Uning bo'yi uzun.	He is tall.
919	uzunlik	n	Size	length				
922	QISQA	adj	Size	short (space and time) | brief, concise	Qisqa yo'l.	Short road.		
927	KALTA	adj	Size	short	Uning kalta to'ni bor.	He has a short coat.		
929	KENG	adj	Size	broad, wide, vast, spacious | extensive, wide-spread	Bu ko'cha keng.	This street is wide.		
939	TOR	adj	Size	narrow, tight	Bu kiyim menga tor.	This dress is too tight for me.		
943	QALIN	adj	Size	thick | dense (solid)	Bu uyning devori qalin.	The walls of this house are thick.		
950	YUPQA	adj	Size	thin	Bu qog'oz yupqa.	This paper is thin.		
954	INGICHKA	adj	Size	thin, slender | fine	Inga ingichka.	The needle is fine.		
955	BALAND	ad	Size	high	Bemorning issig'i baland.	The patient's temperature is high.	Bu devorlar baland.	These walls are high.
956	balandlik	n	Size	height				
959	PAST	adj	Size	low	Bu past uy.	This is low house.	Turkistonda bir qancha past tekisliklar bor.	There are many low-lying plains in Turkestan.
964	CHUQUR	adj	Size	deep	Bu dengiz chuqur.	This see is deep.		
968	SAYOZ	adj	Size	shallow	Bu daryo sayoz.	This river is shallow.		
977	METR	meas	Size	metre				
980	KILOMETR	meas	Size	kilometre	Bir soatda to'rt kilometr yurdik.	We covered four kilometers in one hour.		
987	LITR	meas	Size	litre				
988	SHAKL	n	Shape	form, shape | manner, way	Bu odamning shakli chiroyli.	This man's figure is good.	Shaklimni oynakda ko'rdim.	I saw my figure in the mirror.
991	NO'QTA	n	Shape	point, dot (l/f)				
993	chiziq	n	Shape	line	Bu chiziqni o'tmang.	Do not pass this line.		
995	QATOR	n	Shape	row, line, column	Qator turgan askarlarni ko'rdingizmi?	Did you see the soldiers standing in line?		
999	YUZ	n	Shape	face | surface, face	Yer yuzida turli-turli xalqlar bor.	There are very many different peoples on the face of the earth.		
1003	BURCHAK	n	Shape	corner, angle	Sizni bu ko'chaning burchagida kutaman.	I will wait for you at the corner of this street.		
1010	yumaloq	adj	Shape	round, circular	Menga bir yumaloq oynak kerak.	I need a round mirror.		
1012	dumaloq	adj	Shape	round, circular	Bu kuldon dumaloq.	This ashtray is round.		
1022	SHAR	n	Shape	globe, sphere				
1024	TO'G'RI	adj	Shape	straight | right, correct, true	Bu yo'l to'g'ri.	This road is straight.		
1031	QAVAT	n	Shape	layer, stratum, ply	Ikki qavat ko'rpa.	Two layers of quilt.	Yerning birinchi qavati.	Top soil.
1035	TEKIS	ad	Shape	smooth(ly); level	Bu qog'oz tekis.	This paper is smooth.	Bu yer tekis.	This place is level.
1054	UCH	n	Shape	point, end, extremity	Ipning uchini ushlang!	Hold the end of the thread please!	Qalamning uchi sindi.	The point of the pencil has broken.
1060	TUR-	v.int	Location	stand | stay, stop, be (swh), stay (at)				
1061	YER	n	Location	land | place (l/f)	Buning hech bir yomon yeri yo'q.	There is nothing bad in this.	Dod deydigan yerimiz yo'q.	We have no reason to complain.
1062	YER	bu/shu/u yer+da/ga/dan	Location	here, there	Bu yerga keling!	Come here please!	U yerda kim bor?	Who is there?
1063	YER	qayer+da/ga/dan	Location	where				
1064	YER	har yer+da/ga/dan	Location	everywhere				
1065	YER	hech yer+da/ga/dan	Location	nowhere				
1068	MAHALLIY	adj	Location	local	Bu mamlakatda mahalliy aholidan tashqari boshqa millat kishilari ham yashaydilar.	Apart from the native population there are also people from other nations in this country.	G'isht fabrikasi mahalliy sanoatning bir qismidir.	Brick factories are part of the local industry.
1069	JOY	n	Location	place (l/f), position	Bu joy bo'shmi?	Is this place free?	Bu kitobda qiziq joylar ko'p.	There are many interesting places in this book.
1075	joylash-	v.int | NX+ga ~	Location	find a place in X, settle down in X, put up at X | be located at X, be situated at X, lie on X	Men mehmonxonaga joylashdim.	I have put up at an inn.		
1076	joylashtir-	v.t | NX+ni NY+ga ~	Location	find a place for X in Y, put X in Y				
1077	O'RIN (o'rn+i)	n	Location	place to sit, seat, place to sleep | place, room	Unga o'rin bering!	Make room for him please!		
1096	ICH	n	Location	interior, inside	U ichidan kulib qo'ydi.	He smiled to himself.		
1097	ICH	NX+ning ~+ida/dan/ga	Location	inside X, in X	U qizni uy ichiga olib kirdi.	She led the girl into the room.	Uyning ichida kimlar bor?	Who is in the house?
1098	ichki	adj	Location	inner, internal				
1099	ICHKARI	n, adv	Location	inside	Ichkarida hech kim yo'q edi.	There was nobody inside.	Ichkariga kiring!	Come inside!
1100	TASHQI	adj	Location	outer, external				
1101	TASHQARI	n, adv	Location	exterior, outside	Tashqariga chiqaman.	I am going outside.		
1106	CHEK	n	Location	limit, boundary, limitation	U chekdan tashqarida.	He is outside the limits.	U o'zining chek yerida ishlayapti.	He is working his own plot.
1107	CHEGARA	n	Location	boundary, limit, frontier	Mamlakatning chegarasiga bordim.	I went up to the frontiers of the country.		
1109	chegaralan-	v.int | NX bilan ~	Location	border X, have frontiers with X				
1110	chegaradosh	adj | NX bilan ~	Location	have frontiers with X, border on X	Rossiya g'arb tomondan Polsha Respublikasi bilan chegaradoshdir.	Russia borders in west on the Polish Republic.		
1112	DOIRA	n	Location	circle | circle, sphere, limits				
1115	MARKAZ	n	Location	centre (location and organization)	Men shaharning markazida turaman.	I live in the centre of the city.		
1116	markaziy	adj	Location	central				
1119	O'RTA	n, adj	Location	centre, middle; central	XIX asr o'rtalari.	The middle of the 19th century.		
1120	O'RTA	NX+ning ~+sida/dan/ga	Location	among X, between X	Ikki polisning o'rtasida keldi.	He came between two policemen.	U odamlarning o'rtasida.	He is among the people.
1123	ORA	n	Location	interspace, middle, midst	G'oza qator oralari.	Space between rows of cotton plants.	Uni oramizdan chiqardik.	We expelled him from our midst.
1124	ORA	NX+ning ~+sida/dan/ga	Location	among X	Ularning orasida tog'am ham bor.	My uncle is also among them.		
1125	ORA	NX bilan NY+ning ~+si	Location	interspace, distance between X and Y	Parij bilan Toshkentning orasi.	The distance between Paris and Tashkent.		
1128	TOMON	n	Location	side; way (direction)	Ko'chaning u tomoniga boring!	Go to the other side of the street!		
1136	ATROF	n	Location	surroundings, vicinity	Maktabni topish uchun atrofga qaradim.	I looked around to find the school.	Uyimizning atrofi daraxtlar bilan o'ralgan.	Our house is surrounded by trees.
1137	ATROF	n | NX+ning ~+ida/dan/ga	Location	around X | around X, about X	Shaharning atrofida ko'p qishloqlar bor.	There are many villages round the town.		
1138	ATROF	yaqin atrofda	Location	around here				
1139	TARAF	n	Location	side (one of two opposite sides) | side, party	Sizni ko'chaning u tarafida kutaman.	I shall wait for you on the other side of the street.		
1147	O'RA-	NX bilan ~+b ol-	Location	surround, encircle with X	Uy baland to'siq bilan o'rab olingan.	The house is surrended by a high fence.	Dushman askarlarini o'rab olish kerak.	The enemy forces must be surrounded.
1153	YON	n	Location	side (immediate vicinity)				
1154	YON	NX+ning ~+ida/dan/ga	Location	near X, beside X | on X, with X	U yonimizdan o'tdi.	He passed by us.	Uyning yonida bog' bor.	The house has a garden.
1155	YON	yonma-yon	Location	side by side				
1156	yonlab	adv | NX+ni ~	Location	along the edge of X, by the side of X	Ekinlarni yonlab bordik.	We went along the edge of the cultivated fields.		
1161	YOQ	n	Location	side	Bu uyning bu yog'i yaxshi.	This side of the house is better.	Bu xabar u yoqdan keldi.	This information came from here.
1171	YAQIN	adj | NX+ga ~	Location	near by X, close to X				
1173	YAQIN	NX+ning yaqin+ida/dan/ga	Location	near X, not far from X	Ingliz tili o'qituvchimiz uyimizning yaqinida yashaydi.	Our english teacher lives not far from us.		
